x y level seg_id
1.631166399766302844e+00 -8.976248064000566518e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.631359147138653265e+00 -8.919330560033390809e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.635101343474484992e+00 -8.194305879157817718e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.638148854523361786e+00 -7.412363694315066143e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.640499293029197281e+00 -6.630421509472314567e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.642386157664315505e+00 -5.848479324629565768e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.643527736544563744e+00 -5.297282975512911801e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.644311798110302814e+00 -5.066537139786814886e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.646712104811303368e+00 -4.284594954944062617e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.648806929783386943e+00 -3.502652770101313817e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.650684088606403810e+00 -2.720710585258562242e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.652388900588019016e+00 -1.938768400415810667e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.653936867458984938e+00 -1.156826215573061867e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.655325974998281380e+00 -3.748840307303102914e-03 3.200000000000000153e-03 0.000000000000000000e+00
1.655696325950474224e+00 -1.513043517282601459e-03 3.200000000000000153e-03 0.000000000000000000e+00
1.657177458642949297e+00 4.070581541124385083e-03 3.200000000000000153e-03 0.000000000000000000e+00
1.658994185874534955e+00 1.189000338955190084e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.660498340845476983e+00 1.970942523797938883e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.661685466469140282e+00 2.752884708640693234e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.662548429388910565e+00 3.534826893483442034e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.663075281878847456e+00 4.316769078326190834e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.663245670138075338e+00 5.098711263168945185e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.663026421932370269e+00 5.880653448011693984e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.662367070351360443e+00 6.662595632854442784e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.661196795728201669e+00 7.444537817697191584e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.659426473682564573e+00 8.226480002539945935e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.656964606751088365e+00 9.008422187382694735e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.655696325950474224e+00 9.342430704281451392e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.654595245828416994e+00 9.790364372225443534e-02 3.200000000000000153e-03 0.000000000000000000e+00
1.652428015154419949e+00 1.057230655706819789e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.650175018675512861e+00 1.135424874191094669e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.648319288504387803e+00 1.213619092675369548e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.647435380347279654e+00 1.291813311159644984e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.647841873692861503e+00 1.370007529643919864e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.649359032855494567e+00 1.448201748128194744e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.651469165886089385e+00 1.526395966612470179e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.653665258496016310e+00 1.604590185096745059e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.655636538553220127e+00 1.682784403581019939e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.655696325950474224e+00 1.685385199133582756e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.658428326780422735e+00 1.760978622065295374e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.660588350591302831e+00 1.839172840549570254e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662145187838749205e+00 1.917367059033845134e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663192079044051308e+00 1.995561277518120569e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663818655877397523e+00 2.073755496002395449e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664107043122557972e+00 2.151949714486670329e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664134456744224666e+00 2.230143932970945209e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663975673619799700e+00 2.308338151455220644e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663701934026403872e+00 2.386532369939495524e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663375624817014620e+00 2.464726588423770404e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663043095982679631e+00 2.542920806908045561e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662729885804366425e+00 2.621115025392320996e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662441831904420519e+00 2.699309243876596431e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662172444320939135e+00 2.777503462360870756e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661913968810696085e+00 2.855697680845146191e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661668561172684022e+00 2.933891899329421626e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661456387947235935e+00 3.012086117813695951e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661317771889788686e+00 3.090280336297971941e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661306587584916672e+00 3.168474554782246821e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661473928199549865e+00 3.246668773266520591e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661846416784565683e+00 3.324862991750796581e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662409824624920596e+00 3.403057210235072017e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663108537019494904e+00 3.481251428719346341e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663861695196706236e+00 3.559445647203621776e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664585885293969891e+00 3.637639865687897212e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.665212586725269617e+00 3.715834084172171536e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.665695571089936156e+00 3.794028302656446971e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.666010553564338359e+00 3.872222521140721296e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.666151715544354817e+00 3.950416739624996731e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.666128339932382962e+00 4.028610958109272167e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.665962437321944600e+00 4.106805176593546491e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.665686422931097921e+00 4.184999395077821926e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.665339180454466161e+00 4.263193613562097362e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664959512108656670e+00 4.341387832046371686e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664577876696256453e+00 4.419582050530647122e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.664209255767319151e+00 4.497776269014922557e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663850172346152290e+00 4.575970487499196881e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663480793160613480e+00 4.654164705983472317e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.663070326901266327e+00 4.732358924467747752e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.662582704189855543e+00 4.810553142952022077e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661980224254090865e+00 4.888747361436297512e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.661224345539425329e+00 4.966941579920572947e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.660273936675741968e+00 5.045135798404847272e-01 3.200000000000000153e-03 0.000000000000000000e+00
1.659081765264763808e+00 5.123330016889122707e-01 3.200000000000000153e-03 0.000000000000000000e+00
